Search string                    Error Message
=============================================================================
`                                E / Unconverted character [`]
~                                E / Unconverted character [~]
€                                E / Unconverted character [€]
‚                                E / Unconverted character [‚]
ƒ                                E / Unconverted character [ƒ]
„                                E / Unconverted character [„]
…                                E / Unconverted character […]
†                                E / Unconverted character [†]
‡                                E / Unconverted character [‡]
ˆ                                E / Unconverted character [ˆ]
‰                                E / Unconverted character [‰]
Š                                E / Unconverted character [Š]
‹                                E / Unconverted character [‹]
Œ                                E / Unconverted character [Œ]
Ž                                E / Unconverted character [Ž]
‘                                E / Unconverted character [‘]
’                                E / Unconverted character [’]
“                                E / Unconverted character [“]
”                                E / Unconverted character [”]
•                                E / Unconverted character [•]
–                                E / Unconverted character [–]
—                                E / Unconverted character [—]
˜                                E / Unconverted character [˜]
™                                E / Unconverted character [™]
š                                E / Unconverted character [š]
›                                E / Unconverted character [›]
œ                                E / Unconverted character [œ]
ž                                E / Unconverted character [ž]
Ÿ                                E / Unconverted character [Ÿ]
                                 E / Unconverted character [ALT+255]
¡                                E / Unconverted character [¡]
¢                                E / Unconverted character [¢]
£                                E / Unconverted character [£]
¤                                E / Unconverted character [¤]
¥                                E / Unconverted character [¥]
¦                                E / Unconverted character [¦]
§                                E / Unconverted character [§]
¨                                E / Unconverted character [¨]
©                                E / Unconverted character [©]
ª                                E / Unconverted character [ª]
¬                                E / Unconverted character [¬]
­                                E / Unconverted character [­]
®                                E / Unconverted character [®]
¯                                E / Unconverted character [¯]
°                                E / Unconverted character [°]
±                                E / Unconverted character [±]
²                                E / Unconverted character [²]
³                                E / Unconverted character [³]
´                                E / Unconverted character [´]
µ                                E / Unconverted character [µ]
¶                                E / Unconverted character [¶]
·                                E / Unconverted character [·]
¸                                E / Unconverted character [¸]
¹                                E / Unconverted character [¹]
º                                E / Unconverted character [º]
¼                                E / Unconverted character [¼]
½                                E / Unconverted character [½]
¾                                E / Unconverted character [¾]
¿                                E / Unconverted character [¿]
À                                E / Unconverted character [À]
Á                                E / Unconverted character [Á]
Â                                E / Unconverted character [Â]
Ã                                E / Unconverted character [Ã]
Ä                                E / Unconverted character [Ä]
Å                                E / Unconverted character [Å]
Æ                                E / Unconverted character [Æ]
Ç                                E / Unconverted character [Ç]
È                                E / Unconverted character [È]
É                                E / Unconverted character [É]
Ê                                E / Unconverted character [Ê]
Ë                                E / Unconverted character [Ë]
Ì                                E / Unconverted character [Ì]
Í                                E / Unconverted character [Í]
Î                                E / Unconverted character [Î]
Ï                                E / Unconverted character [Ï]
Ð                                E / Unconverted character [Ð]
